quarter_type,quarter_id,agent,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
good,43_1,52,0,0,0,0,0,0,0,1,0,0
good,43_1,53,0,0,0,0,0,0,0,0,0,0
good,43_1,54,0,0,0,0,0,0,0,0,0,0
good,43_1,55,0,0,0,0,0,0,0,0,0,0
good,43_1,56,0,0,0,0,0,0,0,0,0,0
good,43_1,57,0,0,0,1,0,0,0,0,0,0
good,43_1,58,0,0,0,0,0,0,0,0,0,0
good,43_1,59,0,0,0,1,0,0,0,0,0,0
good,43_1,60,0,0,0,0,0,0,0,0,0,0
good,43_1,61,0,0,0,0,0,0,0,0,1,0
good,43_1,62,0,0,0,0,0,0,0,0,0,0
good,43_1,63,1,0,0,0,0,0,0,0,0,0
good,43_1,64,0,0,0,0,0,0,0,0,0,0
good,43_1,65,0,0,0,0,0,0,0,0,0,0
good,43_1,66,0,0,0,0,0,0,0,0,0,0
good,43_1,67,0,0,0,0,0,0,0,0,0,0
good,43_1,68,0,0,0,0,0,0,0,1,0,0
good,43_1,69,0,0,0,0,0,0,0,1,0,0
good,43_1,70,0,0,0,0,0,0,0,0,1,0
good,43_1,71,0,0,0,0,0,0,0,0,0,0
good,43_1,72,0,0,0,0,0,0,0,0,0,0
good,43_1,73,0,0,0,0,0,0,0,0,1,0
good,43_1,74,0,0,0,0,0,0,0,0,0,0
good,43_1,75,0,0,0,0,0,0,0,0,0,0
good,43_1,76,0,0,0,0,0,0,0,0,0,0
good,43_1,77,0,0,0,0,0,0,0,0,0,0
good,43_1,78,0,0,0,0,0,0,0,0,0,0
good,43_1,79,0,0,0,0,0,0,0,0,0,0
good,43_1,80,0,0,0,0,0,0,0,0,0,0
good,43_1,81,0,0,0,0,0,0,0,0,0,0
good,43_1,82,0,0,0,0,0,0,0,1,0,1
good,43_1,83,0,0,0,0,0,0,0,0,0,0
good,43_1,84,0,0,0,0,0,0,0,0,0,0
good,43_1,85,0,0,0,0,0,0,0,0,0,0
good,43_1,86,0,0,0,0,0,0,0,0,0,0
good,43_1,87,0,0,0,0,0,0,0,0,0,0
good,43_1,88,0,0,0,0,0,0,0,0,0,0
good,43_1,89,0,0,0,0,0,0,0,0,0,0
